file: votematrix-lords.csv covering lords
file created: Sat Feb  9 11:29:46 2013by http://www.publicwhip.org.uk/
1054 mps
1708 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
100172	Desai		Lab	http://publicwhip.com/mp.php?mpid=100172
100173	Dholakia		LDem	http://publicwhip.com/mp.php?mpid=100173
100174	Diamond		Other	http://publicwhip.com/mp.php?mpid=100174
100175	Dixon		Lab	http://publicwhip.com/mp.php?mpid=100175
100176	Dixon-Smith		Con	http://publicwhip.com/mp.php?mpid=100176
101079	Dobbs		Con	http://publicwhip.com/mp.php?mpid=101079
101028	Donaghy		Lab	http://publicwhip.com/mp.php?mpid=101028
100178	Donoughue		Lab	http://publicwhip.com/mp.php?mpid=100178
101084	Doocey		LDem	http://publicwhip.com/mp.php?mpid=101084
101033	Drake		Lab	http://publicwhip.com/mp.php?mpid=101033
100779	Drayson		Lab	http://publicwhip.com/mp.php?mpid=100779
100180	Dubs		Lab	http://publicwhip.com/mp.php?mpid=100180
100182	Dunn		XB	http://publicwhip.com/mp.php?mpid=100182
100804	Dykes		LDem	http://publicwhip.com/mp.php?mpid=100804
100185	Eames		XB	http://publicwhip.com/mp.php?mpid=100185
101062	Eaton		Con	http://publicwhip.com/mp.php?mpid=101062
100186	Eatwell		Lab	http://publicwhip.com/mp.php?mpid=100186
100837	Eccles		Con	http://publicwhip.com/mp.php?mpid=100837
101099	Edmiston		Con	http://publicwhip.com/mp.php?mpid=101099
100189	Elder		Lab	http://publicwhip.com/mp.php?mpid=100189
100190	Elis-Thomas		XB	http://publicwhip.com/mp.php?mpid=100190
100191	Elles		Con	http://publicwhip.com/mp.php?mpid=100191
100193	Elton		Con	http://publicwhip.com/mp.php?mpid=100193
100194	Elystan-Morgan		XB	http://publicwhip.com/mp.php?mpid=100194
100195	Emerton		XB	http://publicwhip.com/mp.php?mpid=100195
101102	Empey		UUP	http://publicwhip.com/mp.php?mpid=101102
100202	Ezra		LDem	http://publicwhip.com/mp.php?mpid=100202
100204	Falkender		Lab	http://publicwhip.com/mp.php?mpid=100204
100205	Falkland		LDem	http://publicwhip.com/mp.php?mpid=100205
101068	Faulks		Con	http://publicwhip.com/mp.php?mpid=101068
100208	Fearn		LDem	http://publicwhip.com/mp.php?mpid=100208
100209	Feldman		Con	http://publicwhip.com/mp.php?mpid=100209
100210	Fellowes		XB	http://publicwhip.com/mp.php?mpid=100210
100211	Ferrers		Con	http://publicwhip.com/mp.php?mpid=100211
100212	Filkin		Lab	http://publicwhip.com/mp.php?mpid=100212
101104	Fink		Con	http://publicwhip.com/mp.php?mpid=101104
100215	Fitt		Other	http://publicwhip.com/mp.php?mpid=100215
100216	Flather		Con	http://publicwhip.com/mp.php?mpid=100216
101098	Flight		Con	http://publicwhip.com/mp.php?mpid=101098
100217	Flowers		XB	http://publicwhip.com/mp.php?mpid=100217
100218	Fookes		Con	http://publicwhip.com/mp.php?mpid=100218
100925	Ford		Lab	http://publicwhip.com/mp.php?mpid=100925
100222	Fowler		Con	http://publicwhip.com/mp.php?mpid=100222
101100	Framlingham		Con	http://publicwhip.com/mp.php?mpid=101100
100224	Freeman		Con	http://publicwhip.com/mp.php?mpid=100224
100992	Freud		Con	http://publicwhip.com/mp.php?mpid=100992
100225	Freyberg		XB	http://publicwhip.com/mp.php?mpid=100225
100868	Fritchie		XB	http://publicwhip.com/mp.php?mpid=100868
100227	Gale		Lab	http://publicwhip.com/mp.php?mpid=100227
100778	Garden		LDem	http://publicwhip.com/mp.php?mpid=100778
100230	Garel-Jones		Con	http://publicwhip.com/mp.php?mpid=100230
100231	Gavron		Lab	http://publicwhip.com/mp.php?mpid=100231
100232	Geddes		Con	http://publicwhip.com/mp.php?mpid=100232
100233	Geraint		LDem	http://publicwhip.com/mp.php?mpid=100233
101024	German		LDem	http://publicwhip.com/mp.php?mpid=101024
100234	Gibson		XB	http://publicwhip.com/mp.php?mpid=100234
100792	Giddens		Lab	http://publicwhip.com/mp.php?mpid=100792
100236	Gilbert		Lab	http://publicwhip.com/mp.php?mpid=100236
101129	Glasman		Lab	http://publicwhip.com/mp.php?mpid=101129
100240	Glenarthur		Con	http://publicwhip.com/mp.php?mpid=100240
101132	Glendonbrook		Con	http://publicwhip.com/mp.php?mpid=101132
100241	Glentoran		Con	http://publicwhip.com/mp.php?mpid=100241
101125	Gold		Con	http://publicwhip.com/mp.php?mpid=101125
100244	Golding		Lab	http://publicwhip.com/mp.php?mpid=100244
100245	Goldsmith		Lab	http://publicwhip.com/mp.php?mpid=100245
100246	Goodhart		LDem	http://publicwhip.com/mp.php?mpid=100246
100871	Goodlad		Con	http://publicwhip.com/mp.php?mpid=100871
100248	Goschen		Con	http://publicwhip.com/mp.php?mpid=100248
100249	Goudie		Lab	http://publicwhip.com/mp.php?mpid=100249
100251	Grabiner		Lab	http://publicwhip.com/mp.php?mpid=100251
100253	Grantchester		Lab	http://publicwhip.com/mp.php?mpid=100253
100255	Greaves		LDem	http://publicwhip.com/mp.php?mpid=100255
100257	Greenfield		XB	http://publicwhip.com/mp.php?mpid=100257
100258	Greengross		XB	http://publicwhip.com/mp.php?mpid=100258
100259	Greenway		XB	http://publicwhip.com/mp.php?mpid=100259
100260	Gregson		Lab	http://publicwhip.com/mp.php?mpid=100260
100261	Grenfell		Other	http://publicwhip.com/mp.php?mpid=100261
101007	Grey-Thompson		XB	http://publicwhip.com/mp.php?mpid=101007
100262	Griffiths		XB	http://publicwhip.com/mp.php?mpid=100262
100264	Grocott		Lab	http://publicwhip.com/mp.php?mpid=100264
100267	Habgood		XB	http://publicwhip.com/mp.php?mpid=100267
100720	Hambro		Con	http://publicwhip.com/mp.php?mpid=100720
100951	Hameed		XB	http://publicwhip.com/mp.php?mpid=100951
100268	Hamwee		LDem	http://publicwhip.com/mp.php?mpid=100268
100269	Hanham		Con	http://publicwhip.com/mp.php?mpid=100269
100271	Hanningfield		Con	http://publicwhip.com/mp.php?mpid=100271
100272	Hanson		Con	http://publicwhip.com/mp.php?mpid=100272
101133	Hanworth		Lab	http://publicwhip.com/mp.php?mpid=101133
100273	Hardie		Judge	http://publicwhip.com/mp.php?mpid=100273
100767	Harmar-Nicholls		Con	http://publicwhip.com/mp.php?mpid=100767
100279	Harrison		Lab	http://publicwhip.com/mp.php?mpid=100279
100280	Haskel		Lab	http://publicwhip.com/mp.php?mpid=100280
100281	Haskins		Lab	http://publicwhip.com/mp.php?mpid=100281
100906	Haskins		XB	http://publicwhip.com/mp.php?mpid=100906
100722	Haslam		Con	http://publicwhip.com/mp.php?mpid=100722
100282	Hattersley		Lab	http://publicwhip.com/mp.php?mpid=100282
100805	Haworth		Lab	http://publicwhip.com/mp.php?mpid=100805
100283	Hayhoe		Con	http://publicwhip.com/mp.php?mpid=100283
100284	Hayman		Lab	http://publicwhip.com/mp.php?mpid=100284
101147	Hayman		XB	http://publicwhip.com/mp.php?mpid=101147
100285	Healey		Lab	http://publicwhip.com/mp.php?mpid=100285
100783	Henig		Lab	http://publicwhip.com/mp.php?mpid=100783
100286	Henley		Con	http://publicwhip.com/mp.php?mpid=100286
100288	Heseltine		Con	http://publicwhip.com/mp.php?mpid=100288
101112	Heyhoe Flint		Con	http://publicwhip.com/mp.php?mpid=101112
100289	Higgins		Con	http://publicwhip.com/mp.php?mpid=100289
100294	Hoffmann		XB	http://publicwhip.com/mp.php?mpid=100294
100295	Hogg		Con	http://publicwhip.com/mp.php?mpid=100295
100723	Holderness		Con	http://publicwhip.com/mp.php?mpid=100723
100297	Hollick		Lab	http://publicwhip.com/mp.php?mpid=100297
101072	Hollins		XB	http://publicwhip.com/mp.php?mpid=101072
100301	Hooper		Con	http://publicwhip.com/mp.php?mpid=100301
100302	Hooson		LDem	http://publicwhip.com/mp.php?mpid=100302
100305	Howe		Con	http://publicwhip.com/mp.php?mpid=100305
100311	Hoyle		Lab	http://publicwhip.com/mp.php?mpid=100311
101110	Hussain		LDem	http://publicwhip.com/mp.php?mpid=101110
101025	Hussein-Ece		LDem	http://publicwhip.com/mp.php?mpid=101025
