file: votematrix-2005.csv covering commons parliament 2005
file created: Sat Feb  9 11:29:53 2013by http://www.publicwhip.org.uk/
657 mps
1288 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
2015	Patrick	Cormack	Con	http://publicwhip.com/mp.php?mpid=2015
1729	Jim	Cousins	Lab	http://publicwhip.com/mp.php?mpid=1729
1541	Geoffrey	Cox	Con	http://publicwhip.com/mp.php?mpid=1541
1768	Stephen	Crabb	Con	http://publicwhip.com/mp.php?mpid=1768
1431	David	Crausby	Lab	http://publicwhip.com/mp.php?mpid=1431
1898	Mary	Creagh	Lab	http://publicwhip.com/mp.php?mpid=1898
1526	Jon	Cruddas	Lab	http://publicwhip.com/mp.php?mpid=1526
1659	Ann	Cryer	Lab	http://publicwhip.com/mp.php?mpid=1659
1562	John	Cummings	Lab	http://publicwhip.com/mp.php?mpid=1562
1518	Jim	Cunningham	Lab	http://publicwhip.com/mp.php?mpid=1518
1942	Tony	Cunningham	Lab	http://publicwhip.com/mp.php?mpid=1942
1820	David	Curry	Con	http://publicwhip.com/mp.php?mpid=1820
1521	Claire	Curtis-Thomas	Lab	http://publicwhip.com/mp.php?mpid=1521
1981	Alistair	Darling	Lab	http://publicwhip.com/mp.php?mpid=1981
1662	Edward	Davey	LDem	http://publicwhip.com/mp.php?mpid=1662
1470	Wayne	David	Lab	http://publicwhip.com/mp.php?mpid=1470
1991	Ian	Davidson	Lab	http://publicwhip.com/mp.php?mpid=1991
2022	Dai	Davies	Ind	http://publicwhip.com/mp.php?mpid=2022
1719	David	Davies	Con	http://publicwhip.com/mp.php?mpid=1719
1816	Philip	Davies	Con	http://publicwhip.com/mp.php?mpid=1816
1598	Quentin	Davies	Con	http://publicwhip.com/mp.php?mpid=1598
2025	Quentin	Davies	Lab	http://publicwhip.com/mp.php?mpid=2025
1608	David	Davis	Con	http://publicwhip.com/mp.php?mpid=1608
2034	David	Davis	Con	http://publicwhip.com/mp.php?mpid=2034
1465	Janet	Dean	Lab	http://publicwhip.com/mp.php?mpid=1465
1827	John	Denham	Lab	http://publicwhip.com/mp.php?mpid=1827
2020	Jim	Devine	Lab	http://publicwhip.com/mp.php?mpid=2020
1595	Parmjit	Dhanda	Lab	http://publicwhip.com/mp.php?mpid=1595
1628	Andrew	Dismore	Lab	http://publicwhip.com/mp.php?mpid=1628
1649	Jonathan	Djanogly	Con	http://publicwhip.com/mp.php?mpid=1649
1636	Jim	Dobbin	Lab	http://publicwhip.com/mp.php?mpid=1636
1639	Frank	Dobson	Lab	http://publicwhip.com/mp.php?mpid=1639
1401	Nigel	Dodds	DUP	http://publicwhip.com/mp.php?mpid=1401
1666	Jeffrey M	Donaldson	DUP	http://publicwhip.com/mp.php?mpid=1666
1962	Brian H	Donohoe	Lab	http://publicwhip.com/mp.php?mpid=1962
1955	Frank	Doran	Lab	http://publicwhip.com/mp.php?mpid=1955
1490	Stephen	Dorrell	Con	http://publicwhip.com/mp.php?mpid=1490
1397	Nadine	Dorries	Con	http://publicwhip.com/mp.php?mpid=1397
1683	Jim	Dowd	Lab	http://publicwhip.com/mp.php?mpid=1683
1850	David	Drew	Lab	http://publicwhip.com/mp.php?mpid=1850
1785	James	Duddridge	Con	http://publicwhip.com/mp.php?mpid=1785
1795	Alan	Duncan	Con	http://publicwhip.com/mp.php?mpid=1795
1499	Iain	Duncan Smith	Con	http://publicwhip.com/mp.php?mpid=1499
1696	Philip	Dunne	Con	http://publicwhip.com/mp.php?mpid=1696
1520	Gwyneth	Dunwoody	Lab	http://publicwhip.com/mp.php?mpid=1520
1589	Mark	Durkan	SDLP	http://publicwhip.com/mp.php?mpid=1589
1899	Angela	Eagle	Lab	http://publicwhip.com/mp.php?mpid=1899
1687	Maria	Eagle	Lab	http://publicwhip.com/mp.php?mpid=1687
1571	Clive	Efford	Lab	http://publicwhip.com/mp.php?mpid=1571
1688	Louise	Ellman	Lab	http://publicwhip.com/mp.php?mpid=1688
1437	Tobias	Ellwood	Con	http://publicwhip.com/mp.php?mpid=1437
1534	Natascha	Engel	Lab	http://publicwhip.com/mp.php?mpid=1534
1385	Jeff	Ennis	Lab	http://publicwhip.com/mp.php?mpid=1385
